,Train Loss,True Loss,Val Loss,Val Acc
66,0.06854321023449295,0.08078929043747479,0.49358477994799604,0.8772
67,0.06464010430127383,0.07538681187294419,0.49752669960260376,0.8794
68,0.06228515097592024,0.07318510964885354,0.5012841729819776,0.8797
69,0.060473001749254754,0.0700055598318577,0.5077830742299557,0.881
70,0.05885778033779934,0.06787177926534786,0.5053011889755723,0.8812
71,0.05672056328784673,0.06636203576251869,0.513182389289141,0.8798
72,0.05728073743730783,0.06700270748883479,0.5089163121581076,0.8777
73,0.0554004332097247,0.06472830031439661,0.5188472338020802,0.8787
74,0.056559498706366944,0.06541934586036949,0.5117718006670474,0.8801
75,0.052816016098950036,0.06087203915696597,0.5262800800800326,0.8798
76,0.051564883810933715,0.05991733082197602,0.5286649070680143,0.8791
77,0.049108095546253054,0.05710907548386603,0.5302005848288536,0.8801
78,0.05007408629823473,0.057723301442340086,0.5261916416883468,0.8808
79,0.04772957922704517,0.05547009070357308,0.534777753353119,0.8785
80,0.047215857858769625,0.05403042720444499,0.5390107096731661,0.8779
81,0.04674031921569264,0.05358701755618674,0.5373357295989989,0.8796
82,0.04576799855660649,0.05346029914729298,0.5411701264977454,0.88
83,0.045501241316087515,0.051791882481425966,0.5399047437310218,0.8795
84,0.04245950255682691,0.04974514168361203,0.5405370347201824,0.8777
85,0.04388879460422323,0.050112050850875674,0.5470707704126835,0.8803
86,0.041549935323651886,0.04838285256084055,0.555795334279537,0.8801
87,0.04214086131099613,0.04868831912335007,0.5543534892797468,0.8793
88,0.04208710893429813,0.04824049019953239,0.5541011677682399,0.8817
89,0.03828843545773998,0.04387294131866652,0.5658619584143162,0.876
90,0.03712787389801816,0.0431782428766601,0.5575191666185855,0.879
91,0.035304575146641606,0.04084885022137315,0.5573990516364575,0.8777
92,0.034724732384551316,0.040197278192732486,0.5586877541244032,0.8792
93,0.03334215654805303,0.03830341776041313,0.5594945202767851,0.8782
94,0.03251396586839109,0.037727020609192516,0.5594834601879121,0.8788
95,0.03267344383057205,0.03836281087715178,0.55768683552742,0.8791
96,0.03419944286486131,0.039438560946844475,0.5607082450389862,0.8796
97,0.03369298287760462,0.03858148891432213,0.5624254682660104,0.8788
98,0.03203709324146622,0.037321750877425064,0.561914946436882,0.8807
99,0.03334516425803305,0.03807640459248794,0.5634047400951387,0.8798
100,0.033108204521471646,0.03795427749911321,0.5630543728172779,0.8788
101,0.03306739146821201,0.03804697719868276,0.56480277299881,0.8796
102,0.032368549329228696,0.037382580622565005,0.5652864307165146,0.8797
103,0.03154577264375985,0.03630435762833803,0.5648889455199242,0.8796
104,0.0322237324161688,0.036719947472214715,0.5655187451839446,0.879
105,0.03175702493288556,0.03620146787492553,0.5671626575291158,0.8792
106,0.03280674156453458,0.03722780402889475,0.5681769350171092,0.8796
107,0.030964279332896708,0.03573280771728604,0.5696091319620606,0.8791
108,0.03156165101449007,0.037053709491156044,0.5706520782411098,0.8787
109,0.03161535680876115,0.03592580683063717,0.5715040270984176,0.8784
110,0.03019853007257916,0.03512722205626779,0.5723106025159358,0.8791
111,0.03179643347463572,0.0372118876713794,0.5720241348445417,0.8803
112,0.030843633291544374,0.035677621162496495,0.5730971018970014,0.8797
113,0.03133295358950274,0.03617782647721466,0.5764153249561786,0.8796
114,0.030548655331134787,0.03511289607873189,0.5746627430617809,0.8804
115,0.03108143316325733,0.03561288168025205,0.575593460202217,0.8801
116,0.031900302392896256,0.03660509397136048,0.5757107022404672,0.8809
117,0.02975707238656468,0.034873010280309244,0.5770191061496738,0.8798
118,0.029839521981077272,0.03509616566612387,0.5772657850384713,0.8809
119,0.029855868592159822,0.03437051243381572,0.5786261048913002,0.8812
120,0.030082327632000663,0.03434074921719726,0.5783795543015005,0.8812
121,0.03017646469618196,0.035102749340003375,0.5782248549163344,0.8813
122,0.031026637510978613,0.03529607125010806,0.5781784646213054,0.8807
123,0.03063543923711404,0.035111297518946226,0.5784551738202571,0.8803
124,0.028444801190169525,0.03286216449178754,0.5786649532616137,0.8803
125,0.0294707094882615,0.03437365196621976,0.5785613077878953,0.8803
126,0.02875690253241919,0.03376066509052181,0.5786764827370645,0.8802
127,0.029306743816938263,0.03415807422157379,0.5788319735229018,0.88
128,0.030548421790590512,0.03527387836738493,0.5788930241763593,0.8802
129,0.03003612578450703,0.03495864668930883,0.5789280079305174,0.88
130,0.030710460697766413,0.03493530834256673,0.5787512408196928,0.8801
131,0.02837845231278331,0.03358745477325282,0.5788190910220147,0.8798
132,0.031396499601891247,0.036082017532084155,0.5788579525053502,0.88
133,0.030064221381791878,0.034774897694587734,0.5790852548182008,0.8803
134,0.029938592285034267,0.03530633022775872,0.5790626510977743,0.8801
135,0.02867477352032438,0.03275574508216232,0.5791735292971132,0.8803
136,0.029645116169005635,0.03404113107058219,0.5791241429746149,0.8802
137,0.030293062136508547,0.03485352819878611,0.5790103283524511,0.8803
138,0.029658568762009997,0.03469678186578676,0.5791673497855664,0.8804
139,0.029859630584716797,0.03425821171095593,0.5791406606137752,0.8801
140,0.02999648881470783,0.03557007274683566,0.5792113783955574,0.8804
141,0.029843729182844985,0.03527680381946261,0.5794353851675987,0.88
142,0.028235546613577762,0.03273213985934854,0.5795611326396464,0.8808
143,0.02936311471485531,0.03375948185799641,0.5798566219210624,0.8803
144,0.02703695480152964,0.031208537535043428,0.5799574671685693,0.8806
145,0.028499986291746597,0.03284802423347719,0.5800627638399601,0.8803
146,0.029616511884145463,0.033683193736244,0.5802079935371875,0.8804
147,0.029607163457199957,0.033714977299328944,0.5804202950000763,0.8805
148,0.02922397051076405,0.03359294649353251,0.5805699706077574,0.8807
149,0.031559861512389036,0.03653700856352222,0.5807828307151794,0.8801
