,Train Loss,True Loss,Val Loss,Val Acc
0,0.42595594534277914,0.4785111603736876,0.41166110336780554,0.5897
1,0.3461904218494893,0.3881829622983931,0.3286315409839154,0.672
2,0.32645757779479034,0.3679022512733935,0.35829076886177064,0.6422
3,0.325770256906748,0.3657193584144116,0.330310499817133,0.6705
4,0.3117796583771704,0.3508837629258632,0.3217679478228093,0.6797
5,0.30398183298110953,0.3426073137819767,0.3370319524407387,0.6633
6,0.3042461267113688,0.3428307482302189,0.3103723849356174,0.6913
7,0.29969687756896,0.3393854860961437,0.3197906355559824,0.6798
8,0.28594451764225964,0.3231699363589289,0.30793896660208714,0.6926
9,0.29003036096692064,0.32665230223536496,0.2995215791463851,0.7012
10,0.29346024966239925,0.3309875982701779,0.3034827205538751,0.6976
11,0.2879756554961207,0.3251771506369117,0.317659336924553,0.6817
12,0.28597336095571535,0.32351605394482613,0.2989416535198688,0.7016
13,0.28508978715538974,0.3226006202697753,0.30508446782827375,0.6954
14,0.28060760459303863,0.3167671413719652,0.31774503514170654,0.6823
15,0.2700980259776116,0.3042850494384766,0.27400972396135337,0.7266
16,0.2684349650144575,0.30357485550641994,0.2856045861542225,0.7152
17,0.2716976059079171,0.3069495392739771,0.285075352191925,0.7157
18,0.2735546690225601,0.3084498615264891,0.2813155251741409,0.7194
19,0.2723303947448732,0.3075182718634608,0.3016363689303398,0.6986
20,0.26943520519137365,0.30381010237336165,0.26853407084941866,0.7319
21,0.26575433921813957,0.29900675415992756,0.28917240798473354,0.7112
22,0.2646136164069176,0.29795142903923977,0.2847588554024695,0.7156
23,0.2626164308041336,0.29707230696082115,0.28292594552040096,0.7168
24,0.26068077617883656,0.29495038247108457,0.2839395815134047,0.7165
25,0.25944398440420635,0.2935332635045054,0.286175583153963,0.7144
26,0.26286315900087387,0.2977629481256009,0.2708537434041501,0.7298
27,0.2544691630601884,0.28895440143346757,0.27669648379087447,0.7231
28,0.2529200906753539,0.28808316564559927,0.2651127262413503,0.7352
29,0.24940596139430982,0.28118173846602407,0.2979628051817418,0.702
30,0.2523056428432467,0.28498020896315573,0.2587784662842751,0.7415
31,0.24993099105358146,0.28339804175496086,0.2606981094181539,0.7396
32,0.2475926598012447,0.28086311402916897,0.2788304692506791,0.7217
33,0.24013058960437791,0.2722614158987999,0.2582165257632732,0.7419
34,0.24375952798128142,0.27664703649282424,0.26108291357755664,0.7386
35,0.2489124118983746,0.28144836086034797,0.27261426448822024,0.7281
36,0.24755542092025268,0.279561934262514,0.2500948798656463,0.7501
37,0.24571124289929872,0.2799331368803978,0.24960257038474087,0.7503
38,0.2369106517434119,0.26973296308517464,0.2473739548027515,0.7524
39,0.24042821511626225,0.2721406843960287,0.26095353290438655,0.7389
40,0.2196946615427733,0.24928435620665565,0.2213379596173763,0.779
41,0.20365737362205977,0.2311980920433997,0.21379435874521724,0.7865
42,0.20054163873195652,0.22744998821616164,0.21054724045097828,0.7901
43,0.19381643672287469,0.22087254279851917,0.20505239367485048,0.7954
44,0.1909994598776103,0.21773855943977843,0.2067664562910795,0.7931
