,Train Loss,Val Loss,Val Acc
0,1.0623245488405229,0.7926808023452757,0.7312
1,0.7486461987495431,0.6273488345742226,0.7855
2,0.6431364617347716,0.6286935958266261,0.7853
3,0.5842676483392715,0.5752183616161345,0.8101
4,0.5377742732167244,0.5425944229960444,0.8159
5,0.4981457663178445,0.5257018956542019,0.8218
6,0.46565504577755934,0.5220394466817379,0.825
7,0.44803602358698835,0.4990221378207207,0.8305
8,0.42751099255681024,0.5280015507340432,0.8263
9,0.4073717086017131,0.46694604456424715,0.8461
10,0.39628714716434443,0.4914531418681147,0.8356
11,0.37765876355767247,0.4736703290045261,0.8405
12,0.3661843212544914,0.4815602961182594,0.8449
13,0.36110995796322803,0.4677678245306016,0.8484
14,0.3459664266407492,0.4858652949333192,0.8415
15,0.32736270798742784,0.4521483206748963,0.8519
16,0.32268210160732286,0.4736787863075732,0.8464
17,0.3085336738824845,0.4697747297585011,0.8479
18,0.2986244939267634,0.46256854936480507,0.849
19,0.2924906613230703,0.47911858901381493,0.8483
20,0.2840184414684769,0.478541353791952,0.8512
21,0.2834792247712613,0.5129004663228987,0.8405
22,0.27179844890534866,0.4760805509984494,0.8482
23,0.26388419768214205,0.4741880494356155,0.848
24,0.2598843207508325,0.4728529050946235,0.8523
25,0.25418909686803826,0.49664159029722243,0.845
26,0.2380795834213497,0.48179049283266084,0.8481
27,0.23845424768328677,0.49254130765795706,0.848
28,0.23492501842975605,0.48663128256797783,0.852
29,0.22269454270601244,0.5060813333094119,0.8478
30,0.2209781655967237,0.47317378908395774,0.8568
31,0.2246555036455392,0.4821119700372221,0.8519
32,0.2102815559059381,0.4778180788457395,0.8576
33,0.20260672096163035,0.48028620541095735,0.8565
34,0.19934253655374054,0.5073694829642773,0.8564
35,0.19611259146034712,0.5143221755325794,0.8514
36,0.191739574804902,0.5005962690711021,0.8543
37,0.1924316412210464,0.5054587280750273,0.8598
38,0.18350923250615594,0.5228699125349522,0.8526
39,0.18402691642940058,0.48658106073737123,0.854
40,0.1766784338355065,0.5334940588474274,0.8526
41,0.17214852493256344,0.5295582114160059,0.8495
42,0.17025304512679584,0.5166781224310396,0.8537
43,0.16498499567061678,0.5149329589307308,0.8561
44,0.16257752591744054,0.499824922680855,0.8595
45,0.16133604308962826,0.5157236433774234,0.8543
46,0.16363911795616157,0.5087686656415462,0.8565
47,0.15775402912497508,0.5180987647920849,0.857
48,0.14945999209582794,0.5306810915470125,0.858
49,0.14959144815802577,0.5274599057435989,0.8583
50,0.14765264684706927,0.5458583816885949,0.8492
51,0.1486051707044243,0.5386953856050968,0.8526
52,0.1367798364460468,0.5129394307732582,0.8585
53,0.14015006414800874,0.5406413030624392,0.8517
54,0.1422352499514819,0.5362659251689911,0.8486
55,0.13464931683987388,0.6043516889214515,0.8502
56,0.13651963008940216,0.5554023250937461,0.8552
57,0.132240278866142,0.559947533607483,0.8572
58,0.1302548861689865,0.5613356146216391,0.8535
59,0.13066605896875266,0.5333847313374278,0.857
60,0.08025980739854277,0.49507725194096586,0.8708
61,0.06253849775530394,0.5042410372197628,0.874
62,0.05505398685578254,0.5185941560566425,0.8732
63,0.049145877165719866,0.5348213770240547,0.8737
64,0.046035001177340745,0.5490452167391778,0.8753
65,0.04165609331894662,0.5526911571621893,0.879
66,0.042400323205627505,0.5621955182403324,0.8763
67,0.038963563727214955,0.5616145747154953,0.8772
68,0.03659093761770052,0.5750341683626176,0.8774
69,0.03667135774996135,0.5674565560370686,0.8755
70,0.03513224920956419,0.5851578150689605,0.8767
71,0.03343788667465562,0.6002039208263158,0.8757
72,0.030287548771593696,0.5951380147784949,0.876
73,0.028920772294048224,0.6088066952675583,0.8769
74,0.029541099863126856,0.6031329202651976,0.8769
75,0.028309266991447674,0.6236253713071347,0.8763
76,0.027168894982896742,0.6224564687162638,0.8776
77,0.02768678997165988,0.6196774540841579,0.8768
78,0.027067782316124077,0.6256197346746922,0.8788
79,0.025467667040531505,0.6402423372864721,0.8791
80,0.02452559776708948,0.6441528658568855,0.8783
81,0.025184882088797177,0.6474563635885716,0.8771
82,0.025105504865059625,0.65399683997035,0.8769
83,0.022704837119672458,0.6589029415696857,0.8782
84,0.02189402909658383,0.6581822305917743,0.8788
85,0.023903835078002887,0.6655311528593302,0.8796
86,0.02270554938924032,0.6436206623911858,0.8809
